secteur_activite;horodate;plage_de_puissance_souscrite;region;nb_points_soutirage;date;temperature_2m_mean;relative_humidity_mean;precipitation_sum;total_energie_soutiree_wh
S2: Industrie;2023-10-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;871;01/10/2023;17.554167;77.22229;0.0;33596083.0
S3: Tertiaire;2024-07-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1660;01/07/2024;15.539584;76.29045;1.5;68341472.0
S2: Industrie;2024-10-01T00:30:00Z;P3: Total ]36-250] kVA;Provence-Alpes-Côte d'Azur;536;01/10/2024;18.739584;86.10247;2.3;4732661.0
S3: Tertiaire;2023-07-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1644;01/07/2023;18.114584;75.01564;2.4;75733519.0
S3: Tertiaire;2024-04-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1656;01/04/2024;9.29375;81.74018;2.6;73510119.0
S3: Tertiaire;2025-10-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1724;01/10/2025;12.260417;84.339134;0.0;83651283.0
S3: Tertiaire;2025-01-01T01:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1698;01/01/2025;7.7999997;84.035126;10.9;80076296.0
S3: Tertiaire;2023-10-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1641;01/10/2023;17.554167;77.22229;0.0;67261707.0
S3: Tertiaire;2025-04-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1725;01/04/2025;8.181251;69.14335;0.0;82759189.0
S3: Tertiaire;2024-01-01T01:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1660;01/01/2024;7.3291664;83.61981;5.4;74998747.0
S3: Tertiaire;2025-07-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1722;01/07/2025;28.622917;54.615585;0.0;86784103.0
S4: Non Affecté;2024-07-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;3;01/07/2024;15.539584;76.29045;1.5;36000.0
S3: Tertiaire;2024-10-01T00:30:00Z;P3: Total ]36-250] kVA;Provence-Alpes-Côte d'Azur;2819;01/10/2024;18.739584;86.10247;2.3;35126644.0
S4: Non Affecté;2025-10-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1;01/10/2025;12.260417;84.339134;0.0;
S4: Non Affecté;2025-04-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;1;01/04/2025;8.181251;69.14335;0.0;
S4: Non Affecté;2024-04-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;2;01/04/2024;9.29375;81.74018;2.6;
S4: Non Affecté;2024-01-01T01:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;2;01/01/2024;7.3291664;83.61981;5.4;
S4: Non Affecté;2025-07-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;0;01/07/2025;28.622917;54.615585;0.0;0.0
S4: Non Affecté;2023-07-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;2;01/07/2023;18.114584;75.01564;2.4;
S4: Non Affecté;2023-10-01T00:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;2;01/10/2023;17.554167;77.22229;0.0;
S4: Non Affecté;2025-01-01T01:00:00Z;P4: ]250-1000] kVA;Hauts-de-France;0;01/01/2025;7.7999997;84.035126;10.9;0.0
S1: Agriculture;2023-10-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;4;01/10/2023;17.554167;77.22229;0.0;1014666.0
S1: Agriculture;2025-10-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;3;01/10/2025;12.260417;84.339134;0.0;1044583.0
S1: Agriculture;2024-10-01T00:30:00Z;P4: ]250-1000] kVA;Provence-Alpes-Côte d'Azur;34;01/10/2024;18.739584;86.10247;2.3;1759000.0
S1: Agriculture;2024-01-01T01:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;4;01/01/2024;7.3291664;83.61981;5.4;1054166.0
S1: Agriculture;2024-04-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;4;01/04/2024;9.29375;81.74018;2.6;1010250.0
S1: Agriculture;2024-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;4;01/07/2024;15.539584;76.29045;1.5;1078750.0
S1: Agriculture;2025-04-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;3;01/04/2025;8.181251;69.14335;0.0;1108750.0
S1: Agriculture;2023-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;4;01/07/2023;18.114584;75.01564;2.4;1145583.0
S1: Agriculture;2025-01-01T01:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;4;01/01/2025;7.7999997;84.035126;10.9;1039833.0
S1: Agriculture;2025-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;3;01/07/2025;28.622917;54.615585;0.0;1181916.0
S2: Industrie;2023-10-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;257;01/10/2023;17.554167;77.22229;0.0;35043994.0
S2: Industrie;2023-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;259;01/07/2023;18.114584;75.01564;2.4;55862506.0
S2: Industrie;2024-04-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;248;01/04/2024;9.29375;81.74018;2.6;39051183.0
S2: Industrie;2024-10-01T00:30:00Z;P4: ]250-1000] kVA;Provence-Alpes-Côte d'Azur;441;01/10/2024;18.739584;86.10247;2.3;23340250.0
S2: Industrie;2025-04-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;243;01/04/2025;8.181251;69.14335;0.0;73712332.0
